"ITTER107","Territory","VARICT","Data type","ATECO_2007","NACE 2007","CLLVT","Size classes of persons employed","TIME","Select time","Value","Flag Codes","Flags"
"IT","Italy","E_CC_PEM_PERC","e-mail","CA","manufacture of food products, beverages and tobacco products","W_GE10","10 and over","2018","2018",14.12,,
"IT","Italy","E_CC_PEM_PERC","e-mail","CA","manufacture of food products, beverages and tobacco products","W_GE10","10 and over","2020","2020",58.63,,
"IT","Italy","E_CC_PEM_PERC","e-mail","CB","manufacture of textiles, apparel, leather and related products","W_GE10","10 and over","2014","2014",36.85,,
"IT","Italy","E_CC_PEM_PERC","e-mail","CB","manufacture of textiles, apparel, leather and related products","W_GE10","10 and over","2016","2016",12.01,"b","break in series"
"IT","Italy","E_CC_PEM_PERC","e-mail","CB","manufacture of textiles, apparel, leather and related products","W_GE10","10 and over","2018","2018",9.83,,
"IT","Italy","E_CC_PEM_PERC","e-mail","CB","manufacture of textiles, apparel, leather and related products","W_GE10","10 and over","2020","2020",50.66,,
"IT","Italy","E_CC_PEM_PERC","e-mail","CC","manufacture of wood and paper products, and printing","W_GE10","10 and over","2014","2014",30.13,,
"IT","Italy","E_CC_PEM_PERC","e-mail","CC","manufacture of wood and paper products, and printing","W_GE10","10 and over","2016","2016",17.51,"b","break in series"
"IT","Italy","E_CC_PEM_PERC","e-mail","CC","manufacture of wood and paper products, and printing","W_GE10","10 and over","2018","2018",12.66,,
"IT","Italy","E_CC_PEM_PERC","e-mail","CC","manufacture of wood and paper products, and printing","W_GE10","10 and over","2020","2020",57.48,,
"IT","Italy","E_CC_PEM_PERC","e-mail","CH","manufacture of basic metals and fabricated metal products, except machinery and equipment","W_GE10","10 and over","2014","2014",34.53,,
"IT","Italy","E_CC_PEM_PERC","e-mail","CH","manufacture of basic metals and fabricated metal products, except machinery and equipment","W_GE10","10 and over","2016","2016",13.68,"b","break in series"
"IT","Italy","E_CC_PEM_PERC","e-mail","CH","manufacture of basic metals and fabricated metal products, except machinery and equipment","W_GE10","10 and over","2018","2018",16.36,,
"IT","Italy","E_CC_PEM_PERC","e-mail","CH","manufacture of basic metals and fabricated metal products, except machinery and equipment","W_GE10","10 and over","2020","2020",57.04,,
"IT","Italy","E_CC_PEM_PERC","e-mail","CL","manufacture of transport equipment","W_GE10","10 and over","2014","2014",33.34,,
"IT","Italy","E_CC_PEM_PERC","e-mail","CL","manufacture of transport equipment","W_GE10","10 and over","2016","2016",12.64,"b","break in series"
"IT","Italy","E_CC_PEM_PERC","e-mail","CL","manufacture of transport equipment","W_GE10","10 and over","2018","2018",13.9,,
"IT","Italy","E_CC_PEM_PERC","e-mail","CL","manufacture of transport equipment","W_GE10","10 and over","2020","2020",56.07,,
"IT","Italy","E_CC_PEM_PERC","e-mail","CM","other manufacturing, and repair and installation of machinery and equipment","W_GE10","10 and over","2014","2014",32.75,,
"IT","Italy","E_CC_PEM_PERC","e-mail","CM","other manufacturing, and repair and installation of machinery and equipment","W_GE10","10 and over","2016","2016",18.03,"b","break in series"
"IT","Italy","E_CC_PEM_PERC","e-mail","CM","other manufacturing, and repair and installation of machinery and equipment","W_GE10","10 and over","2018","2018",21.9,,
"IT","Italy","E_CC_PEM_PERC","e-mail","CM","other manufacturing, and repair and installation of machinery and equipment","W_GE10","10 and over","2020","2020",56.09,,
"IT","Italy","E_CC_PEM_PERC","e-mail","JC","it and other information services","W_GE10","10 and over","2014","2014",43.69,,
"IT","Italy","E_CC_PEM_PERC","e-mail","JC","it and other information services","W_GE10","10 and over","2016","2016",41.3,"b","break in series"
"IT","Italy","E_CC_PEM_PERC","e-mail","JC","it and other information services","W_GE10","10 and over","2018","2018",48.69,,
"IT","Italy","E_CC_PEM_PERC","e-mail","JC","it and other information services","W_GE10","10 and over","2020","2020",82.56,,
"IT","Italy","E_CC_PEM_PERC","e-mail","26","manufacture of computer, electronic and optical products","W_GE10","10 and over","2014","2014",33.9,,
"IT","Italy","E_CC_PEM_PERC","e-mail","26","manufacture of computer, electronic and optical products","W_GE10","10 and over","2016","2016",39.77,"b","break in series"
"IT","Italy","E_CC_PEM_PERC","e-mail","26","manufacture of computer, electronic and optical products","W_GE10","10 and over","2018","2018",35.41,,
"IT","Italy","E_CC_PEM_PERC","e-mail","26","manufacture of computer, electronic and optical products","W_GE10","10 and over","2020","2020",65.21,,
"IT","Italy","E_CC_PEM_PERC","e-mail","53","postal and courier activities","W_GE10","10 and over","2014","2014",46.65,,
